Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.5 sec./model at 14:02:45 08/08/2016
15.5 sec./model at 14:03:00 08/08/2016
15.5 sec./model at 14:03:16 08/08/2016
15.5 sec./model at 14:03:31 08/08/2016
15.5 sec./model at 14:03:47 08/08/2016
15.5 sec./model at 14:04:02 08/08/2016
15.5 sec./model at 14:04:18 08/08/2016
15.5 sec./model at 14:04:33 08/08/2016
15.5 sec./model at 14:04:49 08/08/2016
19.7 sec./model at 14:05:08 08/08/2016
15.5 sec./model at 14:05:24 08/08/2016
20.0 sec./model at 14:05:44 08/08/2016
15.5 sec./model at 14:05:59 08/08/2016
15.5 sec./model at 14:06:15 08/08/2016
15.5 sec./model at 14:06:30 08/08/2016
15.5 sec./model at 14:06:46 08/08/2016
15.5 sec./model at 14:07:01 08/08/2016
15.5 sec./model at 14:07:17 08/08/2016
15.5 sec./model at 14:07:32 08/08/2016
15.5 sec./model at 14:07:48 08/08/2016
15.5 sec./model at 14:08:03 08/08/2016
16.8 sec./model at 14:08:20 08/08/2016
15.7 sec./model at 14:08:36 08/08/2016
15.5 sec./model at 14:08:51 08/08/2016
20.6 sec./model at 14:09:12 08/08/2016
15.6 sec./model at 14:09:28 08/08/2016
20.1 sec./model at 14:09:48 08/08/2016
20.1 sec./model at 14:10:08 08/08/2016
15.5 sec./model at 14:10:23 08/08/2016
15.5 sec./model at 14:10:39 08/08/2016
15.6 sec./model at 14:10:55 08/08/2016
15.5 sec./model at 14:11:10 08/08/2016
15.5 sec./model at 14:11:26 08/08/2016
15.6 sec./model at 14:11:41 08/08/2016
15.5 sec./model at 14:11:57 08/08/2016
15.5 sec./model at 14:12:12 08/08/2016
15.5 sec./model at 14:12:28 08/08/2016
15.6 sec./model at 14:12:43 08/08/2016
15.5 sec./model at 14:12:59 08/08/2016
15.6 sec./model at 14:13:15 08/08/2016
15.5 sec./model at 14:13:30 08/08/2016
15.6 sec./model at 14:13:46 08/08/2016
15.5 sec./model at 14:14:01 08/08/2016
15.6 sec./model at 14:14:17 08/08/2016
15.6 sec./model at 14:14:32 08/08/2016
27.0 sec./model at 14:14:59 08/08/2016
15.5 sec./model at 14:15:15 08/08/2016
15.5 sec./model at 14:15:31 08/08/2016
15.5 sec./model at 14:15:46 08/08/2016
15.6 sec./model at 14:16:02 08/08/2016
15.5 sec./model at 14:16:17 08/08/2016
15.5 sec./model at 14:16:33 08/08/2016
15.5 sec./model at 14:16:48 08/08/2016
15.5 sec./model at 14:17:04 08/08/2016
15.5 sec./model at 14:17:19 08/08/2016
15.5 sec./model at 14:17:35 08/08/2016
15.5 sec./model at 14:17:50 08/08/2016
15.5 sec./model at 14:18:06 08/08/2016
15.5 sec./model at 14:18:21 08/08/2016
15.5 sec./model at 14:18:37 08/08/2016
15.5 sec./model at 14:18:53 08/08/2016
15.5 sec./model at 14:19:08 08/08/2016
15.5 sec./model at 14:19:24 08/08/2016
15.5 sec./model at 14:19:39 08/08/2016
15.5 sec./model at 14:19:55 08/08/2016
15.5 sec./model at 14:20:10 08/08/2016
15.5 sec./model at 14:20:26 08/08/2016
15.5 sec./model at 14:20:41 08/08/2016
15.6 sec./model at 14:20:57 08/08/2016
15.5 sec./model at 14:21:12 08/08/2016
15.5 sec./model at 14:21:28 08/08/2016
15.5 sec./model at 14:21:43 08/08/2016
15.5 sec./model at 14:21:59 08/08/2016
15.6 sec./model at 14:22:15 08/08/2016
15.5 sec./model at 14:22:30 08/08/2016
15.5 sec./model at 14:22:46 08/08/2016
15.6 sec./model at 14:23:01 08/08/2016
15.5 sec./model at 14:23:17 08/08/2016
15.5 sec./model at 14:23:32 08/08/2016
15.6 sec./model at 14:23:48 08/08/2016
15.5 sec./model at 14:24:03 08/08/2016
15.5 sec./model at 14:24:19 08/08/2016
15.6 sec./model at 14:24:35 08/08/2016
15.5 sec./model at 14:24:50 08/08/2016
15.5 sec./model at 14:25:06 08/08/2016
15.6 sec./model at 14:25:21 08/08/2016
15.6 sec./model at 14:25:37 08/08/2016
15.5 sec./model at 14:25:52 08/08/2016
15.6 sec./model at 14:26:08 08/08/2016
15.5 sec./model at 14:26:23 08/08/2016
